id, followers_count, following_count, tweet_count
59856118,271,211,7415
59908109,982,983,40833
59954259,71,8,7190
60166601,22722,242,12677
60225695,456,614,10543
60239907,4524,4117,133450
60326391,6008,2930,47628
60616086,505,46,79960
60874583,6304,541,68277
60912474,3259,2487,74583
60982903,10786,11060,504784
61005113,27300,201,149910
61124436,1586,1254,30291
61156006,216,505,1496
61325428,176,290,10749
61504288,2647,2698,15684
61631756,54926,290,4449
61680803,4159,3804,188986
61814466,14960,6146,44436
61837271,1116,847,31657
61849865,319,662,38006
62007080,12029,9082,48826
62168467,820,1370,110733
62249866,1012,2970,44071
62404766,228,208,58416
62424707,1656,3504,77345
62517385,745,807,89824
62534350,699,1031,13587
62577000,39,257,22716
62581059,393,728,24719
62623384,79,195,3638
62646596,185,596,6242
62679255,926,3390,37826
62725397,3795,5003,38978
62806842,208600,4001,243096
62809565,7362,1008,67325
62821102,1107,1359,36031
62924981,1392,1996,12817
63032046,1994,2125,9036
63036910,300,710,14244
63043501,525,1960,8424
63102092,216,1044,8863
63235258,1544,999,103833
63295980,1812,1602,278992
63338283,119,407,4679
63588698,35,284,4195
63669203,617,3008,30054
63831616,417,1225,21004
64041293,989,1913,14698
64243724,291,509,9255
64284616,373,786,9186
64318204,280,1616,41758
64370729,155,353,4592
64436726,2529,900,30845
64475647,739,1920,11036
64496828,271,1703,33943
64857768,171,567,7281
64930030,591,465,15032
65183293,3868,1440,458616
65193381,3900,3864,105210
65220266,3,38,99
65231899,87,58,1191
65241235,5891,5436,53297
65358581,15129,247,72670
65360466,36417,224,48100
65417014,60278,1201,17597
65438851,5745,5216,62232
65463088,245562,48,260560
65508108,182,191,7153
65513644,225,1038,1671
65560975,3798,413,382218
65701885,25876,851,24324
66169172,3878,604,90221
66198359,1018,1348,22272
66437410,1349,2956,10607
66461741,1391,1584,7561
66464061,12511,4100,193178
66540680,23966,765,32926
66610019,181,222,3731
66719510,562,1065,77430
66722494,87,352,2458
66838712,31753,1124,8833
66935376,144,639,1179
66961677,25,376,747
66998289,23715,12941,116163
67056271,375,502,12027
67062063,2453,198,5897
67093568,88,1146,477
67098620,632,719,23785
67207970,1883,3703,34132
67210156,9531,1053,197260
67241289,10659,10647,26212
67453509,2255,2087,277099
67460063,161,491,1060
67463576,63,194,1234
67627498,40,65,883
67679163,354,204,73499
67714448,4212,3581,43617
67827069,275,1136,8482
68034200,81937,614,23789
68103613,648,824,26115
68182625,282,461,49493
68209404,177,211,6653
68240928,669,526,20526
68252023,864,2531,25343
68287878,272,642,19054
68320483,1033,1319,35100
68390909,400,1035,4380
68395739,280,316,1709
68407168,172,536,4283
68442764,175,1039,2273
68502960,420,408,34605
68583605,130,314,7461
68591970,4142,1175,7738
68725306,1590,2579,66889
68753864,161,746,39611
68810180,46,260,4063
68957648,7117,7536,138645
69086375,398,801,31939
69167854,188,111,9426
69199798,2517,2674,6455
69237104,381,698,14772
69292554,733,904,64611
69378196,29193,2455,31705
69416519,3024750,0,786951
69447964,150,283,8995
69466770,10199,1636,65411
69590646,2923,4998,17814
69603873,459,427,17411
69800760,113095,13726,106492
69835482,364,894,381
69859491,84,238,3717
69908165,259,759,6101
69949736,1583,1329,12198
69954153,7031,6841,177562
70008251,128,693,5632
70009832,48,364,904
70059100,5339,412,40295
70201113,1925,2316,7178
70216872,46,221,1501
70250344,81,779,2244
70295042,54,723,4670
70461537,15459,1253,19283
70495937,1321,3292,78480
70530334,61406,1917,9937
70544798,98443,33857,26396
70557301,8447,327,122215
70596691,461,1012,35674
70761051,2909,2839,49873
70976165,35,40,5305
70983241,1157,469,23019
71057773,14015,10971,144891
71080518,3788,4971,296530
71103303,795,4365,167756
71170360,152,654,14780
71184320,93,609,2487
71230414,134,490,3065
71285030,614,565,30813
71293868,7485,657,63849
71306640,68,125,6013
71354996,1825,1532,35085
71385464,2603,4649,60324
71428715,49,94,1777
71573809,1590,1533,61647
71613558,333,864,21130
71630576,85977,2485,96322
71677141,1490,1264,55442
71740995,176,179,3733
71749133,1742,4740,43354
72062123,1807,2029,63131
72076771,3162,377,164386
72133844,5292,312,26295
72206395,311,314,10945
72286253,908,705,7247
72287782,1900,2324,102091
72326648,80,332,1716
72344373,120,290,5065
72384483,193,540,5846
72541220,1320,968,23806
72571003,578,1456,23079
72670893,765,641,17510
72692319,443,653,10044
72726349,313,922,20358
72918039,996,851,32094
73084144,1080,1617,172467
73137076,761,367,22294
73167289,26,497,27679
73171471,241,386,74819
73172636,272,460,11417
73185834,957,2327,29492
73245687,10116,1346,236513
73253601,2033,2742,14965
73268827,479,1119,20584
73281957,47,126,157
73312968,601,415,24790
73408353,124,400,1656
73507614,87467,1018,89373
73528273,1616,310,50245
73535657,1814,1813,29249
73537115,4036,2896,330037
73541657,753,668,30919
73543885,3218,3830,123986
73550046,694,840,35412
73550330,569,587,43763
73554816,4944,1445,20175
73626049,3670,3420,38443
73659079,1617,527,21007
73725242,7,152,5542
73893123,38,515,994
73943302,128,75,5437
73979303,2737,2721,21458
74017213,4289,8072,16995
74040621,1892,1062,68893
74291631,2401,398,94910
74297984,401,1023,17333
74349545,270,514,24054
74476946,6562,1945,163440
74486388,1104,1386,16230
74494476,264,854,15028
74515661,8030,2293,205257
74602462,60,4087,13744
74635649,199,614,4798
74645182,1909,1535,195685
74651070,1585,955,109756
74652949,207,1967,15498
74657164,124,1722,8100
74755563,9445,9285,78821
74826304,197646,1705,63581
74826434,187,838,6019
74892313,58,496,5042
74895518,230,776,10366
75046103,2170,2697,49105
75049492,71,477,233
75093436,608,2549,20539
75095057,1652,1720,16238
75114336,31142,18227,177075
75118696,186,154,7638
75193866,3909,3042,49163
75194299,4945,4568,22077
75219554,92,629,1724
75314987,317,122,84238
75392367,23,228,176
75397004,193,684,127013
75571252,145,621,12211
75602417,420,743,25481
75608562,540,1917,101882
75658874,283,397,4307
75681985,3490,4498,16882
75688054,818,1629,6860
75793829,150,798,315
75860074,243,484,31934
75868421,1637,2443,20747
75879733,49167,547,273975
75936087,345,1599,4659
75958494,281,2193,9907
76041701,10073,8037,37240
76046535,31,313,194
76100353,8661,1980,44680
76125172,252,985,22620
76146916,96,193,40479
76372120,55,52,4344
76476801,910,836,20943
76481051,570,1354,20673
76481107,414,236,26049
76494189,428,167,8130
76515271,715,923,84126
76531412,319,1329,16644
76554791,887,2484,83314
76672865,521,963,12780
76796099,323,846,6037
76831658,617,2195,33650
76864595,726,1505,101585
76935208,897,1322,40071
76946476,10681,1837,85210
76998095,409,4516,61385
77009449,1689172,353,13135
77028546,20,23,395
77051325,357,649,10081
77075984,73,300,1526
77142661,187,694,11176
77213895,1671,1812,14684
77216357,85,275,2789
77332258,77,89,3469
77378238,1261,407,83776
77420630,8862,9553,205490
77590983,63,123,3131
77687063,680,2655,31068
77714006,516,2912,9802
77716442,1290,806,92920
77751734,122,60,35277
77836542,15,98,1082
77853453,1995,5002,174839
77860686,146,298,7724
77892789,652,296,19510
78015311,426,708,40913
78015418,109,330,4258
78016089,95488,190,67706
78219013,318,1007,15275
78366273,1120,506,104024
78408615,12101,4778,353127
78421749,477,840,16256
78472754,483,1111,19735
78654638,111,668,262
78718612,138,266,2334
78778110,582,356,90707
78780423,87,197,1775
78968529,747,1462,14907
78976269,281,467,14104
78993352,3551,2978,83764
79020874,59,140,5763
79325236,777,2023,24661
79617252,583,1658,4549
79656716,443,1930,12627
79747055,1527,666,114782
79749136,589874,465,4440
79755577,32982,2077,42099
79899227,834,1013,9439
80041994,176,410,687
80078163,4460,1200,41506
80082883,63124,2059,341007
80132084,1121,610,53932
80319220,1957,1808,108407
80349146,74,344,6796
80366840,200,432,2811
80396134,682180,270,12814
80404446,678,1274,70489
80418659,1548,924,55129
80423750,516,668,3697
80447840,324,1061,5166
80454912,94908,549,24857
80462161,19404,11806,257463
80491991,851,896,32817
80621082,357,1057,30864
80657934,41586,34087,195063
80666172,446,430,18522
80699697,529,1074,7823
80733243,218,532,9526
80934157,95,1278,13208
80946750,335,1401,32221
80983310,98,660,3397
81023481,233,256,16435
81139763,1317,935,7341
81158670,4325,4990,14071
81159712,72,368,5461
81208395,2232,4038,212386
81289660,20066,1091,36677
81400958,1702,271,292
81438268,2306,1822,113670
81539971,219,174,46735
81633375,128,728,1048
81645237,920,1179,5899
81690059,317,2000,19080
81749685,223,285,18934
81902367,1996,2033,66145
81981883,2711,4736,90342
82022678,4105,4071,32575
82088561,572,239,38231
82333147,213,582,12267
82683766,142,174,15596
82705589,537,1139,3681
82743609,1120,1078,62406
82797658,256,968,10451
82870773,90,723,12166
82890460,13269,1411,56162
82963099,10154,2297,105577
82963359,149,206,13681
82996906,375,416,2792
83043060,3621,969,149900
83165100,181,671,7500
83194043,231,711,16092
83268893,109,171,449
83282012,36,220,3174
83513567,89,111,3072
83592019,1066,871,68900
83649493,2599,1807,39973
83674599,706,753,63329
83719809,6934,7577,1005265
83719928,139932,9739,5000
